"","Date","City","State","Shape","Duration","Description","Posted","lat","long"
"2018",2019-06-21 07:18:00,"Newburgh","IN",NA,NA,"MADAR Node 142",2019-06-27,37.9456824,-87.4046571
"2019",2019-06-21 04:15:00,"Lakeland","FL","Light","1 minute","I saw a VERY bright orange light to the north moving upwards vertically in the sky. It changed from orange, then to green, disappeared",2019-07-05,28.0394654,-81.9498042
"2020",2019-06-21 00:00:00,"Suitland","MD","Triangle","10 minutes","We saw a spacecraft flying towards the moon thats when we glimpsed at the object a little harder because planes dont fly that close too",2019-06-27,38.848724,-76.9238625
"2021",2019-06-21 00:00:00,"Lincoln Park","MI","Light","2 minutes","Dropped in flashed a few times and shot off 5 or 6 balls of light then shot back up extermly fast. ((anonymous report))",2019-06-27,42.2505943,-83.1785361
"2022",2019-06-21 00:00:00,"McBean","GA","Light","1 minute","Several lights in a straight line.",2019-09-12,33.2434787,-81.950672
"2023",2019-06-20 23:28:00,"Charlottesville","VA","Circle","15 seconds","Group of several orange lights, seemingly circular. Lights did not blink. ((anonymous report))",2019-06-27,38.029306,-78.4766781
"2024",2019-06-20 22:25:00,"Lakewood","CO","Unknown","4.8611111111111112E-2","I was in Morrison, CO, (on the Littleton/Morrison line). I was looking north at a bright red light. It was moving slowly (similar",2019-06-27,39.7085736,-105.0846694
"2025",2019-06-20 22:00:00,"Cleveland","TN","Sphere","1-2 hours","Spinning Sphere. Lights glowing inside. Other flashes of light around it. Stat. or moving slowly. ((NUFORC Note: Balloon? PD))",2019-06-27,35.1595182,-84.8766115
"2026",2019-06-20 22:00:00,"Independence","MO","Sphere","30 seconds","Brilliant blue light blinded me, then flew away very quickly. ((NUFORC Note: Report submitted by experienced investigator. PD))",2019-07-25,39.0924792,-94.4137923
"2027",2019-06-20 22:00:00,"Greer","SC","Oval","45 seconds","A bright oval object traveling at speed exceeding that of man-made aviation capabilities.",2019-06-27,34.9381361,-82.2272119
"2028",2019-06-20 21:38:00,"Hixton","WI","Light","15 seconds","Low, fast moving blinking light that dropped 5-6 very bright balls that fell into woods",2019-08-23,44.3857944,-91.0143157
"2029",2019-06-20 20:50:00,"San Clemente","CA","Oval","7 minutes","Pulsating lights in the sky over San Clemente, California",2019-06-27,33.4270275,-117.6124179
"2030",2019-06-20 20:00:00,"Kansas City","MO","Circle","unknown","Witnessed 2 bright white disc-like objects high in the sky to the N of Liberty. ((NUFORC Note: High-altitude balloon? PD))",2019-06-27,39.100105,-94.5781416
"2031",2019-06-20 19:51:00,"Kansas City","MO","Circle","20 minutes","I received a phone call from a friend asking if I was observing the objects in the N sky. ((NUFORC Note: High-altitude balloon? PD))",2019-06-27,39.100105,-94.5781416
"2032",2019-06-20 19:49:00,"Kansas City","MO","Unknown","Currently","Noticed one reflective dot in the sky, totally motionless for approximately 20 minutes. ((NUFORC Note: High-altitude balloons? PD))",2019-06-27,39.100105,-94.5781416
"2033",2019-06-20 19:30:00,"Kansas City","MO","Sphere","20 minutes","2 silver/white spheres hovering/non-moving at 5000 ft. until covered by clouds after 20 minutes.",2019-06-27,39.100105,-94.5781416
"2034",2019-06-20 19:00:00,"Liberty","MO","Circle","30-40 minutes","Two stationary bright round objects spaced 1/2 mile apart in broad daylight.",2019-06-27,39.246479,-94.419079
"2035",2019-06-20 18:15:00,"Hanover","PA","Circle","30 seconds","Was outside with my dog in the backyard. Saw something very bright and flying way too slow to be an airplane. No blinking light no nois",2019-12-22,33.0048428,-86.2024717
"2036",2019-06-20 18:00:00,"San Francisco","CA","Sphere","2 minutes","I saw a ""shooting star"" come to a dead stop in the sky. It hovered for a while then shot straight up and stopped again.",2020-06-25,37.7790262,-122.4199061
"2037",2019-06-20 17:00:00,"Hamptons","NY","Other",NA,"White shiny box standing still with a small plane next to it in the hamptons",2019-06-27,NA,NA
"2038",2019-06-20 13:26:00,"Charles Town","WV",NA,"5 seconds","Oblong vertically--cloud/mirror brightness traveling from northwest to south",2019-06-27,39.2891836,-77.859581
"2039",2019-06-20 13:20:00,"Ball Ground","GA",NA,NA,"MADAR Node 129",2019-06-27,34.3382257,-84.3765714
"2040",2019-06-20 12:30:00,"Salt Lake City","UT","Oval","7 minutes","I work next to the airport and noticed a floating orb bouncing slowly around the airport. ((NUFORC Note: High-altitude balloon? PD))",2019-06-27,40.7596198,-111.8867975
"2041",2019-06-20 10:30:00,"Orlando","FL","Light","5 seconds","Oval light disappears in sky.",2019-06-27,28.5421109,-81.3790304
"2042",2019-06-20 01:30:00,"Redding","CA","Triangle","5 minutes","Me and my husband saw 3 red lights in a triangle Shape low in the sky as we got closers my husband and I saw it hadoesn't a outline aga",2019-06-20,40.5863563,-122.3916754
"2043",2019-06-20 00:00:00,"Hardy","VA","Teardrop","1 minutes","Outside near midnight the sky lights up, brightly, by a tear shaped orb of light with swirling colors, then suddenly its gone.",2019-07-05,42.8105258,-94.0513432
"2044",2019-06-19 23:00:00,"Smithville","MO","Light",">1 hour","Multiple star-like objects triangle formation moving in zig zags, quick up/down, left/right & half circle movements - Smithville, MO",2019-06-20,39.3868396,-94.5815937
"2045",2019-06-19 22:20:00,"Orlando","FL","Oval","12 minutes","15 STRANGE OVAL LIGHTS ABOVE THE LOW CLOUDS SOUTH OF ORLANDO, FL.",2019-06-20,28.5421109,-81.3790304
"2046",2019-06-19 22:00:00,"Chelyan","WV","Light","3 minutes","Whole crossing the bridge noticed a really bright light in the sky towards the south. It was so bright it was hard to look at at first,",2019-06-27,38.1955157,-81.4934985
"2047",2019-06-19 21:07:00,"Danbury and NC (between)",NA,"Cylinder","20+ minutes","Cylindrical objects emanating from unusual cloud formation above cloud ceiling visible from plane",2019-06-27,NA,NA
"2048",2019-06-19 20:30:00,"Phoenix","AZ","Unknown",":20","String of 4 stationary bright white lights in North Phoenix Sky.",2019-06-27,33.4484367,-112.0741417
"2049",2019-06-19 20:30:00,"Carlinville","IL","Sphere","30 minutes","Translucent ballon-like moving slowly. ((anonymous report))",2019-06-20,39.2797699,-89.8817662
"2050",2019-06-19 20:30:00,"Carrollton","IL","Sphere","30-40 minutes","3 bluish/white spheres hovering, then one moving very fast seen by two people in Greene County, IL.",2019-06-27,32.9537349,-96.8902816
"2051",2019-06-19 19:30:00,"East Alton","IL","Sphere","2.0833333333333332E-2","My son and I were riding our bikes through our neighbor when he called out my name and drew my attention to an object in the sky. We th",2019-07-25,38.8803256,-90.1112184
"2052",2019-06-19 10:00:00,"Heppner","OR","Cigar","15 seconds","Fast moving object high altitude no wings the classic cigar shape. ((anonymous report))",2019-06-20,45.354579,-119.5522216
"2053",2019-06-19 06:15:00,"Clay","NY","Disk","1 minute","Flat disk moved slower than a aircraft then tipped right and accelerated up out of sight extremely fast",2019-06-27,43.1859013,-76.1724254
"2054",2019-06-18 23:30:00,"Oakley","CA","Light","10 seconds","I was using my telescope to take pictures of the moon, as I was preparing to move and adjust for change in angel I saw a multi colored",2019-06-27,37.9974219,-121.7124536
"2055",2019-06-18 23:15:00,"Skokie","IL","Flash","35 minutes","About 6 to 7 UFO's flashing bright lights often, a couple of were able to change the color of the lights to dark red.",2019-06-20,42.0333694,-87.7333972
"2056",2019-06-18 22:00:00,"Savannah","GA","Flash",">2 hours","Really bright flashes of light. ((anonymous report))",2019-06-20,32.0809263,-81.0911768
"2057",2019-06-18 22:00:00,"Oak Creek/Sedona","AZ","Cigar","5 minutes","UNEXPECTED CIGAR SHAPED UFO APPEARS IN MY IPHONE PHOTO AT ODD ANGLE. I’M A BELIEVER. ((anonymous report))",2019-06-27,34.8679599,-111.7617165
"2058",2019-06-18 22:00:00,"Savannah","GA","Flash",">2 hours","Really bright flashes of light.",2019-06-20,32.0809263,-81.0911768
"2059",2019-06-18 21:35:00,"Ruidoso","NM","Formation","15 seconds","We saw two bright yellowish orange lights, then as soon as we noticed them they spread out in a perfect line two in the center.",2019-06-20,33.3315804,-105.6730991
"2060",2019-06-18 21:00:00,"Brookville","IN","Sphere","1 hour","Metal orb of wires that was seen through a telescope after noticing a bright light that hovered in the sky. ((anonymous report))",2019-06-20,38.7750057,-97.8683772
"2061",2019-06-18 21:00:00,"Sicklerville","NJ","Oval","30 minutes","Objects were in groups 6-8 Seem to be oval in shape Orange light or beam was on the objects Objects were floating in groups",2019-06-20,39.7173375,-74.9693329
"2062",2019-06-18 20:30:00,"Troy","OH","Light","Until cloud cover","Bright large stationary light high in the evening sky. ((NUFORC Note: WHIO-TV reports the three objects are still a mystery. PD))",2019-06-20,NA,NA
"2063",2019-06-18 20:30:00,"New Castle","IN","Circle","Current","Bright light in sky before dusk moving East to west slowly. ((NUFORC Note: See other similar reports. PD))",2019-06-20,40.9999202,-80.3471856
"2064",2019-06-18 20:25:00,"Germantown","OH","Circle","2 hours +","Experienced aviation mechanic witnesses three strange, stationary, objects in northern sky.",2019-06-20,NA,NA
"2065",2019-06-18 20:00:00,"Dayton","OH","Oval","1 hour","We saw an oval shaped craft in the sky. Appeared to be white or clear, emitting light. Was bright outside and still could be seen clear",2019-06-20,NA,NA
"2066",2019-06-18 19:00:00,"Hagerstown","IN","Changing","2.5 hours","Indiana glowing shape shifting orb",2019-06-20,39.6419219,-77.7202641
"2067",2019-06-18 19:00:00,"Middletown","OH","Circle","15 minutes","3 bright circular stationery objects over Middletown Ohio",2019-06-20,NA,NA
"2068",2019-06-18 19:00:00,"Fairborn","OH","Circle","5 minutes","Local weather man reported something in sky. So I went outside with phone to look for object. Saw the white light and recorded it. It l",2019-06-20,NA,NA
"2069",2019-06-18 17:00:00,"Ocean City","MD","Rectangle","3 minutes","Black rectangle never saw it move.",2019-12-01,38.3348728,-75.0847659
"2070",2019-06-18 15:34:00,"London","OH","Circle","20 minutes","Traveling down 42 when I noticed a white disk shape following the vehicle. Went against wind current. Then went into a cloud and disapp",2019-06-20,NA,NA
"2071",2019-06-18 10:00:00,"Vega Alta (Puerto Rico)","PR","Changing","10 minutes","On Hwy. 22, Vega Baja to Vega alta, one very bright sphere, then divide in two and moving tourch the N. ((anonymous report))",2019-06-27,NA,NA
"2072",2019-06-18 10:00:00,"Savannah","GA","Flash","Ongoing","Bright flashes above tall tree level, moving across the sky, really bright flashes that were ball shaped/ ((anonymous report))",2019-06-20,32.0809263,-81.0911768
"2073",2019-06-18 08:30:00,"Fishers","IN","Sphere","5 minutes","Out walking and noticed perfect round solid white sphere in the more Southeastern Sky. ((anonymous report))",2019-06-27,39.9555928,-86.0138729
"2074",2019-06-18 01:50:00,"Sacramento","CA","Flash","It has been flying around","I saw some white flashing lights, but I noticed one of them looked like a circular shaped building. ((anonymous report))",2019-06-20,38.5810606,-121.4938951
"2075",2019-06-18 00:00:00,"Cumming","GA","Unknown","90 minutes","((HOAX??)) Abduction. ((NUFORC Note: We unsuccessfully attempted to contact the source of report, to confirm authenticity. PD))",2019-07-05,41.4833235,-93.7624442
"2076",2019-06-17 22:30:00,"Casper","WY","Triangle","5 seconds","I was talking to my daughter on my front porch and we both looked up thinking it was a shooting star, it hovered for one second abo",2019-06-20,42.866632,-106.313081
"2077",2019-06-17 22:30:00,"Casper","WY","Triangle","5 seconds","On a cloudy night, my mother and I were sitting on our porch talking and we looked up thinking it was a shooting sta",2019-06-20,42.866632,-106.313081
"2078",2019-06-17 21:20:00,"St. George","UT","Cylinder","4 minutes","Incredibly stable and fast craft.",2019-06-20,37.104153,-113.5841313
"2079",2019-06-17 21:14:00,"Marathon","FL","Fireball","20 seconds","1 round Orange Redish Ball. Traveled South to North over Duck Key at a slow speed.",2019-06-20,24.7137524,-81.0903512
"2080",2019-06-17 21:00:00,"Durand","MI","Other","Varied","Starting in mid-March, 2019, and continuing on a regular basis up to this week, my family and I have noticed incredibly bright lights,",2019-06-20,42.4358914,-89.3319502
"2081",2019-06-17 21:00:00,"unknown- airplane","GA","Cylinder","7+ minutes","Multiple objects captured on pics of moon taken while flying on airplane from Charlotte, NC to Danbury CT.",2019-06-27,NA,NA
