"GEOID","county","state","variable","estimate","total","casepercap"
"01013","Butler","Alabama","pop",1900,1186,62421.0526315789
"19023","Butler","Iowa","pop",3300,1046,31696.9696969697
"20015","Butler","Kansas","pop",6700,3468,51761.1940298507
"21031","Butler","Kentucky","pop",1400,609,43500
"29023","Butler","Missouri","pop",3000,2209,73633.3333333333
"31023","Butler","Nebraska","pop",1900,591,31105.2631578947
"39017","Butler","Ohio","pop",28000,16902,60364.2857142857
"42019","Butler","Pennsylvania","pop",23500,4665,19851.0638297872
"06007","Butte","California","pop",17500,4195,23971.4285714286
"16023","Butte","Idaho","pop",500,125,25000
"46019","Butte","South Dakota","pop",800,730,91250
"13035","Butts","Georgia","pop",1700,1103,64882.3529411765
"37025","Cabarrus","North Carolina","pop",12500,7116,56928
"54011","Cabell","West Virginia","pop",7300,2956,40493.1506849315
"49005","Cache","Utah","pop",13500,7920,58666.6666666667
"40015","Caddo","Oklahoma","pop",6100,1949,31950.8196721311
"06009","Calaveras","California","pop",2600,498,19153.8461538462
"21033","Caldwell","Kentucky","pop",950,603,63473.6842105263
"29025","Caldwell","Missouri","pop",2300,403,17521.7391304348
"37027","Caldwell","North Carolina","pop",5700,3626,63614.0350877193
"48055","Caldwell","Texas","pop",3200,1880,58750
"50005","Caledonia","Vermont","pop",5000,128,2560
"01015","Calhoun","Alabama","pop",8400,6598,78547.619047619
"05013","Calhoun","Arkansas","pop",650,153,23538.4615384615
"12013","Calhoun","Florida","pop",1300,875,67307.6923076923
"13037","Calhoun","Georgia","pop",1000,299,29900
"17013","Calhoun","Illinois","pop",950,262,27578.9473684211
"19025","Calhoun","Iowa","pop",2600,1088,41846.1538461538
"26025","Calhoun","Michigan","pop",15000,6105,40700
"28013","Calhoun","Mississippi","pop",1700,787,46294.1176470588
"45017","Calhoun","South Carolina","pop",1000,560,56000
"48057","Calhoun","Texas","pop",1400,990,70714.2857142857
"54013","Calhoun","West Virginia","pop",600,81,13500
"48059","Callahan","Texas","pop",1500,223,14866.6666666667
"29027","Callaway","Missouri","pop",3700,2877,77756.7567567568
"21035","Calloway","Kentucky","pop",3100,1776,57290.3225806452
"55015","Calumet","Wisconsin","pop",7400,4292,58000
"24009","Calvert","Maryland","pop",6400,1612,25187.5
"16025","Camas","Idaho","pop",250,54,21600
"42021","Cambria","Pennsylvania","pop",22500,4706,20915.5555555556
"13039","Camden","Georgia","pop",3600,1862,51722.2222222222
"29029","Camden","Missouri","pop",3600,2488,69111.1111111111
"34007","Camden","New Jersey","pop",38000,19558,51468.4210526316
"37029","Camden","North Carolina","pop",700,188,26857.1428571429
"42023","Cameron","Pennsylvania","pop",850,27,3176.47058823529
"48061","Cameron","Texas","pop",26000,26290,101115.384615385
"48063","Camp","Texas","pop",1000,451,45100
"21037","Campbell","Kentucky","pop",8600,3106,36116.2790697674
"46021","Campbell","South Dakota","pop",400,103,25750
"47013","Campbell","Tennessee","pop",3100,1631,52612.9032258065
"51031","Campbell","Virginia","pop",3900,1214,31128.2051282051
"56005","Campbell","Wyoming","pop",2400,3070,127916.666666667
"40017","Canadian","Oklahoma","pop",11500,7075,61521.7391304348
"13043","Candler","Georgia","pop",900,622,69111.1111111111
"47015","Cannon","Tennessee","pop",1300,795,61153.8461538462
"16027","Canyon","Idaho","pop",13000,15754,121184.615384615
"29031","Cape Girardeau","Missouri","pop",6400,5773,90203.125
"34009","Cape May","New Jersey","pop",9800,1694,17285.7142857143
"30009","Carbon","Montana","pop",1800,595,33055.5555555556
"42025","Carbon","Pennsylvania","pop",6000,1366,22766.6666666667
"49007","Carbon","Utah","pop",2200,814,37000
"56007","Carbon","Wyoming","pop",1900,712,37473.6842105263
"16029","Caribou","Idaho","pop",1100,446,40545.4545454545
"21039","Carlisle","Kentucky","pop",850,207,24352.9411764706
"27017","Carlton","Minnesota","pop",7500,1935,25800
"24011","Caroline","Maryland","pop",3700,983,26567.5675675676
"51033","Caroline","Virginia","pop",2400,634,26416.6666666667
"05015","Carroll","Arkansas","pop",2100,1463,69666.6666666667
"13045","Carroll","Georgia","pop",6400,5691,88921.875
"17015","Carroll","Illinois","pop",2800,1084,38714.2857142857
"18015","Carroll","Indiana","pop",2400,769,32041.6666666667
"19027","Carroll","Iowa","pop",3600,2012,55888.8888888889
"21041","Carroll","Kentucky","pop",1200,349,29083.3333333333
"24013","Carroll","Maryland","pop",15000,3369,22460
"28015","Carroll","Mississippi","pop",550,741,134727.272727273
"29033","Carroll","Missouri","pop",1600,442,27625
"33003","Carroll","New Hampshire","pop",4500,401,8911.11111111111
"39019","Carroll","Ohio","pop",2700,587,21740.7407407407
"47017","Carroll","Tennessee","pop",3100,1812,58451.6129032258
"51035","Carroll","Virginia","pop",1800,984,54666.6666666667
"48065","Carson","Texas","pop",800,100,12500
"21043","Carter","Kentucky","pop",2100,797,37952.380952381
"29035","Carter","Missouri","pop",650,297,45692.3076923077
"30011","Carter","Montana","pop",400,113,28250
"40019","Carter","Oklahoma","pop",5900,1748,29627.1186440678
"47019","Carter","Tennessee","pop",4900,2905,59285.7142857143
"37031","Carteret","North Carolina","pop",8300,1756,21156.6265060241
"27019","Carver","Minnesota","pop",12000,4927,41058.3333333333
"30013","Cascade","Montana","pop",8100,5166,63777.7777777778
"21045","Casey","Kentucky","pop",1500,653,43533.3333333333
"17017","Cass","Illinois","pop",2100,992,47238.0952380952
"18017","Cass","Indiana","pop",4100,3161,77097.5609756098
"19029","Cass","Iowa","pop",2100,822,39142.8571428571
